"","control.this","wtc.this","control.other","wtc.other","pval","odds.ratio","low95","high95","qval","celltypes"
"Dendritic cells",530,376,18576,15854,0.00688365002661134,1.20301786986649,1.05025338878889,1.37906825142937,0.0137673000532227,"Dendritic cells"
"Erythrocytes",1465,1521,17641,14709,1.0502315916263e-08,0.803106696620331,0.744516604101263,0.866284106488509,7.35162114138412e-08,"Erythrocytes"
"Erythroid precursor",447,495,18659,15735,3.90234320396996e-05,0.761529777668255,0.667406295873427,0.86875771046099,0.000136582012138948,"Erythroid precursor"
"Granulocytes",6455,5827,12651,10403,3.20357064819581e-05,0.910933201469897,0.871567050439368,0.952050130837564,0.000136582012138948,"Granulocytes"
"HSPC",462,363,18644,15867,0.273192720734299,1.08318411563088,0.940415618011261,1.2483043458261,0.294207545406168,"HSPC"
"IgD+ B cells",1898,1278,17208,14952,1.36224725721104e-11,1.29041731707945,1.19741290373775,1.39105205843,1.90714616009546e-10,"IgD+ B cells"
"IgM+ B cells",756,591,18350,15639,0.125290690721819,1.09016400717734,0.975563469440962,1.21878529290446,0.175406967010547,"IgM+ B cells"
"Macrophage/Monocytes",1976,1740,17130,14490,0.250837350844926,0.960596485271039,0.896865027468756,1.02898721486505,0.292643575985747,"Macrophage/Monocytes"
"Macrophages",312,306,18794,15924,0.073237062522941,0.863910285559282,0.734426531178136,1.01626141498456,0.113924319480131,"Macrophages"
"MEP",109,82,18997,16148,0.423799411061394,1.1298975918962,0.839965582972045,1.52495128874647,0.423799411061394,"MEP"
"Neutrophil",2070,1680,17036,14550,0.14547389522283,1.05235528476757,0.982550360835842,1.12721235962611,0.185148593919966,"Neutrophil"
"NK cells",282,186,18824,16044,0.0067656683441464,1.29221023530898,1.06869272134509,1.56549440107568,0.0137673000532227,"NK cells"
"Plasma cells",1943,1498,17163,14732,0.00297256566433593,1.11332937698324,1.03654054828677,1.19595444292318,0.0083231838601406,"Plasma cells"
"T cells",401,287,18705,15943,0.025085605686157,1.19089201978447,1.01932126925646,1.39270294624517,0.0438998099507748,"T cells"
